iter	RMSE
0	14.7240375
1	14.33164065
2	13.96140786
3	13.58836733
4	13.25355347
5	12.9342758
6	12.63106355
7	12.36251694
8	12.10063853
9	11.80331752
10	11.51604403
11	11.2812576
12	11.01728789
13	10.78278358
14	10.55134713
15	10.31654738
16	10.09963837
17	9.911616107
18	9.699694937
19	9.519676323
20	9.36272938
21	9.208721556
22	9.041450643
23	8.877476779
24	8.725945173
25	8.57823027
26	8.446334447
27	8.324291298
28	8.191719291
29	8.073560269
30	7.955903895
31	7.857386758
32	7.746791903
33	7.651375801
34	7.549538088
35	7.45271895
36	7.360394231
37	7.290341109
38	7.204188225
39	7.133405544
40	7.063178368
41	6.991034453
42	6.914760255
43	6.858224023
44	6.792720381
45	6.732023677
46	6.668751784
47	6.613017581
48	6.552748031
49	6.492346252
50	6.442925494
51	6.388703482
52	6.34320907
53	6.302136385
54	6.263813717
55	6.226657218
56	6.18456901
57	6.144093945
58	6.1066972
59	6.07767167
60	6.0443296
61	6.013440775
62	5.983477312
63	5.950148784
64	5.924660863
65	5.902698503
66	5.871230857
67	5.84303142
68	5.819762423
69	5.794468794
70	5.769692853
71	5.750803011
72	5.728796237
73	5.706478098
74	5.687617916
75	5.669390718
76	5.652674138
77	5.629567513
78	5.614404072
79	5.599176431
80	5.582211106
81	5.566449616
82	5.548890731
83	5.532243838
84	5.514504388
85	5.500645647
86	5.487129066
87	5.476485414
88	5.461790098
89	5.447535881
90	5.435620818
91	5.42614674
92	5.412671405
93	5.40636993
94	5.394135827
95	5.380986781
96	5.373043391
97	5.363823974
98	5.35327256
99	5.345712977
100	5.333993183
101	5.324619144
102	5.314135554
103	5.30492862
104	5.296521993
105	5.288799804
106	5.278529928
107	5.26989518
108	5.264410571
109	5.254498803
110	5.239098319
111	5.233141714
112	5.225379612
113	5.219911629
114	5.215965984
115	5.205907255
116	5.199972669
117	5.193946718
118	5.185923046
119	5.181036363
120	5.171634616
121	5.164293547
122	5.159626109
123	5.154617172
124	5.151073599
125	5.147239805
126	5.143905818
127	5.136622239
128	5.130277969
129	5.126821574
130	5.115553573
131	5.109819823
132	5.099810656
133	5.094234223
134	5.087541521
135	5.083477061
136	5.077919022
137	5.074428536
138	5.069599972
