iter	Passed	Remaining
0	0	740
1	1	657
2	1	636
3	2	604
4	2	596
5	3	581
6	4	584
7	4	588
8	5	591
9	5	584
10	6	580
11	7	577
12	7	574
13	8	575
14	8	574
15	9	576
16	9	575
17	10	571
18	11	573
19	11	571
20	13	610
21	13	604
22	14	600
23	14	602
24	15	601
25	15	598
26	16	596
27	17	595
28	17	591
29	18	588
30	18	588
31	19	586
32	20	587
33	20	585
34	21	582
35	21	580
36	22	579
37	22	577
38	23	574
39	23	573
40	24	573
41	25	572
42	25	572
43	26	571
44	26	570
45	27	569
46	28	567
47	28	566
48	29	566
49	29	568
50	30	567
51	31	566
52	31	565
53	32	562
54	32	560
55	33	558
56	33	558
57	34	556
58	34	555
59	35	554
60	35	552
61	36	551
62	37	551
63	37	550
64	38	549
65	38	548
66	39	548
67	39	547
68	40	546
69	41	545
70	41	544
71	42	543
72	42	542
73	43	541
74	43	540
75	44	540
76	45	539
77	45	539
78	46	538
79	46	537
80	47	537
81	47	536
82	48	535
83	49	534
84	49	533
85	50	532
86	50	531
87	51	530
88	51	530
89	52	529
90	52	529
91	53	528
92	54	527
93	54	524
94	54	523
95	55	522
96	56	522
97	56	521
98	57	520
99	57	520
100	58	519
101	58	518
102	59	517
103	59	516
104	60	515
105	61	515
106	61	514
107	62	513
108	62	513
109	63	512
110	63	512
111	64	511
112	65	510
113	65	510
114	66	509
115	66	508
116	67	508
117	67	507
118	68	507
119	69	507
120	69	507
121	70	506
122	71	506
123	71	505
124	72	505
125	72	504
126	73	504
127	73	503
128	74	503
129	75	503
130	75	503
131	76	502
132	77	502
133	77	502
134	78	502
135	79	502
136	79	502
137	80	502
138	80	501
139	81	501
140	82	501
141	82	501
142	83	501
143	84	501
144	84	500
145	85	499
146	86	499
147	86	498
148	87	498
149	87	497
150	88	497
151	89	496
152	89	495
153	90	496
154	91	496
155	91	495
156	92	494
157	92	493
158	93	492
159	93	491
160	93	489
161	94	488
162	94	487
163	95	486
164	95	484
165	96	483
166	96	482
167	97	481
168	98	482
169	98	481
170	99	480
171	99	479
172	100	478
173	100	477
174	101	476
175	101	475
176	102	474
177	102	473
178	103	472
179	103	471
180	104	471
181	104	470
182	105	470
183	105	469
184	106	468
185	106	467
186	107	466
187	107	465
188	108	464
189	108	463
190	109	462
191	109	461
192	110	460
193	110	459
194	111	458
195	111	457
196	112	456
197	112	456
198	113	455
199	113	455
200	114	454
201	114	453
202	115	452
203	115	451
204	116	450
205	116	450
206	117	449
207	117	448
208	118	448
209	119	448
210	119	447
211	120	446
212	120	445
213	121	445
214	121	444
215	122	444
216	122	443
217	123	442
218	123	441
219	124	440
220	124	439
221	125	438
222	125	437
223	126	436
224	126	435
225	127	435
226	127	434
227	128	433
228	128	433
229	129	432
230	129	432
231	130	431
232	131	431
233	131	431
234	132	430
235	133	430
236	133	430
237	134	430
238	134	429
239	135	428
240	136	428
241	136	428
242	137	428
243	138	427
244	138	427
245	139	426
246	139	425
247	140	425
248	140	424
249	141	424
250	141	423
251	142	422
252	142	421
253	143	421
254	144	421
255	144	421
256	145	420
257	146	420
258	146	419
259	147	419
260	147	418
261	148	418
262	149	417
263	149	416
264	150	416
265	150	415
266	151	415
267	151	415
268	152	414
269	152	413
270	153	412
271	153	412
272	154	411
273	154	410
274	155	409
275	155	409
276	156	408
277	156	407
278	157	406
279	157	406
280	158	405
281	159	405
282	159	404
283	160	403
284	160	403
285	161	402
286	161	401
287	162	400
288	162	399
289	162	398
290	163	398
291	163	397
292	164	396
293	164	395
294	165	395
295	166	395
296	166	394
297	167	393
298	167	393
299	168	392
300	168	392
301	169	391
302	169	390
303	170	389
304	170	389
305	171	388
306	171	387
307	172	387
308	172	386
309	173	385
310	173	385
311	174	384
312	175	384
313	175	383
314	176	382
315	176	382
316	177	381
317	177	380
318	178	380
319	178	379
320	179	378
321	179	377
322	179	377
323	180	376
324	181	376
325	181	375
326	182	374
327	182	374
328	183	373
329	183	372
330	183	371
331	184	371
332	184	370
333	185	369
334	185	369
335	186	368
